Age,Gender,Height,Weight,Physical Activity per day (hrs),Hours of Sleep per day,Bmi,BmiClass
61,Male,185,109.3,1,8,31.94,Obese Class 1
60,Female,171,79.02,0,7,27.02,Overweight
60,Male,155,74.7,3,3,31.09,Obese Class 1
60,Female,146,35.9,3,7,16.84,Underweight
60,Male,158,97.1,0,10,38.9,Obese Class 2
59,Female,171,79.32,3,3,27.13,Overweight
59,Male,170,73.32,1,7,25.37,Overweight
59,Female,172,85.32,0,7,28.84,Overweight
59,Male,146,36,3,5,16.89,Underweight
59,Female,183,104.7,3,6,31.26,Obese Class 1
58,Male,171,79.31,0,8,27.12,Overweight
58,Female,170,73.41,2,4,25.4,Overweight
58,Male,172,85.21,1,6,28.8,Overweight
58,Female,147,36,0,8,16.66,Underweight
57,Male,171,79.3,1,10,27.12,Overweight
57,Female,170,73.5,0,9,25.43,Overweight
57,Male,172,85.1,5,7,28.77,Overweight
57,Female,175,110,2,8,35.92,Obese Class 2
57,Male,158,79.7,4,10,31.93,Obese Class 1
57,Female,147,36,5,9,16.66,Underweight
57,Male,160,99.1,5,3,38.71,Obese Class 2
56,Female,171,79.29,5,7,27.12,Overweight
56,Male,170,73.59,1,7,25.46,Overweight
56,Female,172,84.99,2,9,28.73,Overweight
56,Male,159,75.8,3,7,29.98,Overweight
56,Female,147,36.1,1,5,16.71,Underweight
56,Male,180,98.5,3,8,30.4,Obese Class 1
56,Female,159,98,3,4,38.76,Obese Class 2
55,Male,172,79.28,5,5,26.8,Overweight
55,Female,171,73.68,4,8,25.2,Overweight
55,Male,173,84.88,2,6,28.36,Overweight
55,Female,172,95,3,3,32.11,Obese Class 1
55,Male,170,160,3,8,55.36,Obese Class 3
55,Female,148,36.1,0,9,16.48,Underweight
54,Male,172,79.32,4,4,26.81,Overweight
54,Female,171,73.82,1,5,25.25,Overweight
54,Male,161,78.1,0,10,30.13,Obese Class 1
54,Female,148,36.2,3,7,16.53,Underweight
54,Male,161,100.3,2,3,38.69,Obese Class 2
53,Female,172,79.31,2,5,26.81,Overweight
53,Male,162,76.3,0,10,29.07,Overweight
53,Female,149,36.2,2,6,16.31,Underweight
53,Male,162,101.7,5,8,38.75,Obese Class 2
52,Female,172,79.3,5,7,26.81,Overweight
52,Male,171,74,1,9,25.31,Overweight
52,Female,160,73,5,9,28.52,Overweight
52,Male,149,36.3,0,3,16.35,Underweight
52,Female,164,105.1,2,9,39.08,Obese Class 2
51,Male,172,79.29,5,10,26.8,Overweight
51,Female,171,74.09,0,4,25.34,Overweight
51,Male,163,70.2,1,10,26.42,Overweight
51,Female,150,36.4,4,6,16.18,Underweight
51,Male,175,91.2,3,7,29.78,Overweight
51,Female,170,107.3,4,9,37.13,Obese Class 2
50,Male,173,79.28,0,8,26.49,Overweight
50,Female,172,74.18,4,6,25.07,Overweight
50,Male,174,84.38,2,3,27.87,Overweight
50,Female,180,135,0,3,41.67,Obese Class 3
50,Male,162,46,3,4,17.53,Underweight
50,Female,163,72.5,4,6,27.29,Overweight
50,Male,150,36.5,1,5,16.22,Underweight
50,Female,184,106.9,3,5,31.57,Obese Class 1
50,Male,166,110.5,5,8,40.1,Obese Class 3
15,Female,159.7,54,0,9,21.17,Normal Weight
22,Male,178,115,2,3,36.3,Obese Class 2
32,Female,176,130.5,4,3,42.13,Obese Class 3
42,Male,173,146.2,1,6,48.85,Obese Class 3
25,Female,181,128.7,2,7,39.28,Obese Class 2
35,Male,175,141.5,0,9,46.2,Obese Class 3
45,Female,170,155.8,1,10,53.91,Obese Class 3
28,Male,185,142,1,6,41.49,Obese Class 3
38,Female,180,159.6,3,9,49.26,Obese Class 3
48,Male,168,175,3,5,62,Obese Class 3
30,Female,180,150,5,10,46.3,Obese Class 3
40,Male,174,165.3,4,9,54.6,Obese Class 3
50,Female,166,182.7,3,9,66.3,Obese Class 3
24,Male,177,124.5,5,7,39.74,Obese Class 2
34,Female,176,138.9,4,6,44.84,Obese Class 3
